ID,Name,KG,For Sale,Sale Price,Fert/Day,Rarity,# Traits,Rarest Trait,Head,Neck,Torso,Feet,Tail,Body,Trim,Background,Lore,Flavour,Rank,Score,Floor Price,Last Price,Roosted
76,RoboCoq,71,False,0,146,legendary,7,legendary,Robocoq,Bone Necklace,Boombox,Sneaker Head,,Midnight,Blue Trim,Field,,,193,559.55,130,39,True
77,,24,True,49999.99999999999,52,legendary,6,legendary,Robocoq,,Starfish,Spurs,,Nightstalker Blue,Atlantis Trim,Plum,,,194,559.26,130,0,True
78,,25,False,0,54,legendary,8,elite,Sunnies,Joseph Drip,Rubber chikn,Blue Timbs,WhaleGod,Mutant Purple,Blue Trim,Turquoisey,,,195,559.1,130,0,True
79,,57,False,0,118,legendary,5,legendary,,Chick Magnet,Snib Snibs,Green Feet,,Frog Green,,Farm Glitch,,,196,558.87,130,0,True
80,,28,False,0,60,legendary,5,elite,Templar,,,,WhaleGod,Bullion,Vulcan Trim,Plum,,,200,557.86,130,45,True
81,Rápido Huevolito,68,False,0,140,legendary,7,elite,Sombrero,Sash,Black T-Shirt,Spurs,WhaleGod,Mutant Purple,,Royale,,,201,556.39,130,0,True
82,,26,False,0,56,legendary,7,legendary,Hole in One,Red Bowtie,Toot-Toot,All Stars,Gas Guzzler,Obsidian,,Vulcan,,,203,556.23,130,0,True
83,,28,False,0,60,legendary,7,elite,Feed Bag,Red Bowtie,Katana,All Stars,Royal Flush,Nightstalker Blue,,Turquoisey,,,207,553.92,130,37,True
84,,20,False,0,44,legendary,6,elite,,Golden Pauldrons,White T-Shirt,Blue Timbs,WhaleGod,Passion Red,,Tangerine,,,211,552.55,130,0,True
85,,32,False,0,68,legendary,8,legendary,Purple Comb,Golden Pauldrons,The Key,Golden Feet,chikn Jockey,Nightstalker Blue,Blue Trim,Vaporwave Glitch,,,212,551.81,130,0,True
86,Jordan Belfert,45,True,9999,94,legendary,5,legendary,Boxhead,,Grande LeCoq,Sneaker Head,,Mutant Purple,,Cornhusk,,,214,551.7,130,0,True
87,,7,False,0,18,legendary,7,elite,Hairy Old Man,Sash,Saddle,Black Stilettos,Hydra,Snow White,,Plum,,,215,551.15,130,0,True
88,,19,False,0,42,legendary,7,legendary,Hairy Old Man,Shoulder Armour,Dad Shirt,Golden Feet,,Snow White,Vulcan Trim,Farm,,,216,551.14,130,30.69,True
89,,53,False,0,110,legendary,6,legendary,,Avax Degen,Sword,Spurs,,Midnight,Vulcan Trim,Solana,,,217,550.58,130,0,True
90,,12,True,197.68,28,legendary,7,legendary,Hairy Old Man,Bandolier,Snip Snips,Croqs,Off Grid,Snow White,,Farm,,,222,545.44,130,50,True
91,,52,False,0,108,legendary,6,legendary,Construction Helmet,a little rag,Snib Snibs,Green Feet,,Obsidian,,Vaporwave,,,224,543.63,130,0,True
92,FukFuk,30,False,0,64,legendary,7,elite,Snorkel,Stethoscope,Boombox,Greaves,Foliage,Snow White,,Galactic Glitch,,,226,543.24,130,0,True
93,,37,False,0,78,legendary,7,legendary,Boxhead,Sash,Fresh Fish,Black Stilettos,,Passion Red,Black Trim,Solana,,,227,543.03,130,0,True
94,,13,False,0,30,legendary,5,legendary,Panic Buy,,GoldFish,Rugged,,Snow White,,Turquoisey,,,229,542.3,130,0,True
95,,40,False,0,84,legendary,7,legendary,Green Party Hat,Lei,CD-RW,Croqs,,Snow White,Black Trim,Vaporwave,,,231,541.6,130,0,True
96,,34,False,0,72,legendary,8,legendary,Laser Eye,Sash,McFly,Ball'n Chain,Smokestack,Frog Green,Avax Trim,Farm Glitch,,,233,541.33,130,0,True
97,Prince Albert,34,False,0,72,legendary,5,legendary,Inherited Royalty,Floatie Boi,Floppy Disk,,,Snow White,,Periwinkle,,,235,541.24,130,0,True
98,,34,False,0,72,legendary,6,legendary,Bucket,Stop Loss,GoldFish,Golden Feet,,Snow White,,Vulcan,,,239,540.82,130,60,True
99,,24,False,0,52,elite,5,legendary,Templar,Floatie Boi,Boombox,,,Snow White,,Cornhusk,,,241,540.63,72,0,True
100,,64,False,0,132,elite,6,legendary,Beret,,Spork,Green Feet,,Mutant Purple,Space Trim,Vaporwave,,,242,540.56,72,0,True
10901,,16,False,0,36,nice,7,rare,Sesh Hat,Red Bowtie,Spork,Ball'n Chain,,Mutant Purple,Avax Trim,Plum,,,3794,233.19,42,0,True
10902,,16,False,0,36,rare,5,elite,,Bandolier,,Red Stilettos,Royal Flush,Mutant Purple,,Drummies,,,2163,305.96,55,0,True
10903,,16,False,0,36,nice,5,rare,Chrome Dome,,Big Ol' Corn Cob,Iron Claw,,Snow White,,Field,,,5799,186.19,42,0,True
10904,,27,False,0,58,rare,8,rare,Green Comb,Stethoscope,Bone,Green Feet,Gas Guzzler,Snow White,Black Trim,Turquoisey,,,2151,306.59,55,0,True
10905,,21,False,0,46,common,4,rare,Purple Comb,,Banjo,,,Snow White,,Plum,,,8730,136.02,35,6.6,True
10906,,31,False,0,66,common,4,nice,3D Specs,Bandolier,,,,Snow White,,Turquoisey,,,9862,115,35,0,True
10907,,18,False,0,40,common,4,elite,,Purple Bowtie,Red T-Shirt,,,Snow White,,Cornhusk,,,6090,180.45,35,0,True
10908,,7,False,0,18,common,5,rare,Inherited Royalty,Prized Coq,,Red Feet,,Passion Red,,Turquoisey,,,6963,164.21,35,0,True
10909,,24,False,0,52,common,3,elite,Hipster,,,,,Frog Green,,Tangerine,,,7232,159.64,35,6.5,True
10910,CDs Nuts,31,False,0,66,elite,7,legendary,Green Comb,Coq Maxi,CD-RW,Celestial Feet,,Obsidian,Blue Trim,Field,,,659,434.28,72,22,True
10911,,1,False,0,1,nice,4,elite,,Bitcoin Maxi,Banjo,,,Snow White,,Miami,,,4119,223.18,42,0,True
10912,,1,False,0,1,nice,4,legendary,,,Red T-Shirt,Rugged,,Mutant Purple,,Vermillion,,,3119,257.2,42,0,True
10913,,26,False,0,56,common,4,elite,Hipster,,,Red Feet,,Obsidian,,Turquoisey,,,6287,176.78,35,8,True
10914,,41,False,0,86,common,6,rare,Purple Comb,,Rubber chikn,Buckaroo,,Snow White,Avax Trim,Cornhusk,,,6271,177,35,5.78,True
10915,,26,False,0,56,common,4,nice,Golden Comb,Sash,,,,Snow White,,Miami,,,10425,105.44,35,7.6,True
10916,❤️‍🔥Niftys Deggan 2.0❤️‍🔥,6,False,0,16,rare,5,legendary,,Avax Degen,Omelette,Celestial Feet,,Nightstalker Blue,,Turquoisey,,,1479,350.3,55,30,True
10917,,69,False,0,142,nice,7,nice,Beret,a little rag,Toot-Toot,Green Feet,,Snow White,Blue Trim,Cornhusk,,,4486,214.01,42,0,True
10918,,69,False,0,142,elite,4,legendary,Feed Bag,Avax Degen,,,,Snow White,,Vibe,,,257,536.62,72,0,True
10919,Henny Rogers,32,False,0,68,rare,7,elite,Fez,Clockchain,CD-RW,Celestial Feet,Royal Flush,Midnight,,Periwinkle,,,1104,383.21,55,0,True
10920,,9,False,0,22,common,5,nice,Happy Birthday,,Spelunker,Croqs,,Snow White,,Cornhusk,,,7994,147.71,35,5.5,True
10921,,16,False,0,36,common,4,rare,,,Shovel,,,Nightstalker Blue,Avax Trim,Tangerine,,,9284,126.64,35,0,True
10922,,16,False,0,36,common,3,elite,,,,Blue Timbs,,Mutant Purple,,Periwinkle,,,11746,68.04,35,0,True
10923,,16,False,0,36,common,4,rare,,Lei,Fresh Fish,,,Snow White,,Plum,,,9551,121.78,35,0,True
10924,,16,False,0,36,common,5,elite,Gentleman's Pipe,Make a Wish,Love Balloon,,,Snow White,,Cornhusk,,,6094,180.4,35,0,True
10925,,28,False,0,60,elite,8,elite,Green Comb,Stethoscope,Saddle,Spurs,Royal Flush,Nightstalker Blue,Blue Trim,Cornhusk,,,516,462.5,72,15.9,True
10926,,16,False,0,36,rare,4,elite,Beaker,,The Key,,,Bullion,,Drummies,,,1541,346.6,55,0,True
10927,,15,False,0,34,nice,5,elite,Quarterback,Joseph Drip,,Green Feet,,Snow White,,Tangerine,,,2845,269.41,42,7.8,True
10928,,20,False,0,44,elite,5,legendary,Smol Brain In Jar,,Fancy Sword,Red Feet,,Frog Green,,Turquoisey,,,922,400.79,72,0,True
10929,,19,False,0,42,common,4,rare,Samurai,,,Golden Feet,,Mutant Purple,,Tangerine,,,8991,131.59,35,7,True
10930,,11,False,0,26,common,4,rare,Winterproof,,,Golden Feet,,Snow White,,Farm,,,9550,121.81,35,8.3,True
10931,,10,True,7777,24,elite,5,legendary,Chef,,Hoops,,Scorpion King,Snow White,,Miami,,,553,454.57,72,20,True
10932,,33,False,0,70,nice,5,rare,Sombrero,,The Key,All Stars,,Snow White,,Cornhusk,,,5760,186.72,42,7.96,True
10933,,11,False,0,26,common,6,nice,Green Comb,Bandolier,Banger,Red Feet,,Snow White,,Tangerine,,,6704,168.77,35,0,True
10934,,46,False,0,96,common,5,elite,Sesh Hat,Chick Magnet,,Red Feet,,Passion Red,,Vibe,,,6852,166.16,35,0,True
10935,,46,False,0,96,common,3,rare,Inherited Royalty,,,,,Snow White,,Vermillion,,,8950,132.32,35,0,True
10936,,37,False,0,78,legendary,8,elite,Batter-Up,Golden Pauldrons,Fresh Fish,Buckaroo,Big Mama Fat Pipes,Snow White,Black Trim,Periwinkle,,,121,597.41,130,55,True
10937,,17,False,0,38,common,4,nice,Purple Comb,,,Golden Feet,,Snow White,,Periwinkle,,,11744,68.41,35,4.3,True
10938,,18,False,0,40,common,5,rare,Woody,Stethoscope,,Sneaker Head,,Snow White,,Royale,,,8792,134.99,35,0,True
10939,,36,True,100.69,76,common,4,elite,Celestial Comb,,,Black Stilettos,,Snow White,,Royale,,,10191,108.83,35,37,True
10940,,11,False,0,26,nice,5,elite,Grandpa,,Zippo,Red Feet,,Obsidian,,Turquoisey,,,5543,191,42,0,True
10941,,18,False,0,40,nice,5,rare,Gentlechikn,,McFly,Sneaker Head,,Mutant Purple,,Periwinkle,,,5178,198.72,42,0,True
10942,,27,False,0,58,rare,5,legendary,Quarter Pounder,,Shovel,Green Feet,,Nightstalker Blue,,Vermillion,,,1456,352.55,55,30,True
10943,,23,False,0,50,common,3,rare,Mullet,,,,,Mutant Purple,,Turquoisey,,,10930,95.9,35,0,True
10944,,21,False,0,46,rare,7,elite,SuperVillain,Joseph Drip,Big Stick,Green Feet,chikn Jockey,Snow White,,Vibe,,,2227,302.68,55,0,True
10945,,23,False,0,50,common,3,nice,,,A Fresh Baguette,,,Frog Green,,Cornhusk,,,11201,89.19,35,37.5,True
10946,,51,False,0,106,common,4,rare,Beanie,,,All Stars,,Snow White,,Cornhusk,,,10838,97.35,35,14,True
10947,,46,False,0,96,common,5,elite,Sesh Hat,,Shovel,Blue Timbs,,Frog Green,,Plum,,,6662,169.5,35,12.99,True
10948,,9,False,0,22,common,4,elite,,Lei,,,Gas Guzzler,Snow White,,Drummies,,,8783,135.04,35,7.77,True
10949,,14,False,0,32,common,5,Common,Dirty Bird,,A Fresh Baguette,Green Feet,,Nightstalker Blue,,Plum,,,8120,145.64,35,6.69,True
10950,,23,False,0,50,common,3,nice,,,,,,Passion Red,Black Trim,Periwinkle,,,11678,71.98,35,7.5,True
10951,,32,False,0,68,common,4,elite,,Sash,Saddle,,,Snow White,,Turquoisey,,,7264,159.16,35,0,True
10952,,30,False,0,64,nice,5,elite,Quarterback,,Banger,Red Feet,,Nightstalker Blue,,Turquoisey,,,2585,282.47,42,7.5,True
10953,Lenny,34,False,0,72,nice,5,elite,SuperVillain,,Home Run,Croqs,,Passion Red,,Farm,,,3648,237.09,42,10.5,True
10954,,16,False,0,36,nice,5,elite,Chef,Gwei Guzzler,Lord Quas,,,Nightstalker Blue,,Plum,,,3071,259.78,42,0,True
10955,,16,False,0,36,elite,7,legendary,Sesh Hat,Stethoscope,Dad Shirt,All Stars,,Snow White,Black Trim,Field,,,872,406.94,72,0,True
10956,,16,False,0,36,common,5,nice,Sesh Hat,,Lord Quas,Red Feet,,Passion Red,,Turquoisey,,,7216,159.96,35,0,True
10957,,16,False,0,36,common,5,nice,Beanie,,Shovel,Croqs,,Passion Red,,Miami,,,6529,172.19,35,0,True
10958,,16,False,0,36,nice,4,legendary,,Prized Coq,,,,Frog Green,Avax Trim,Farm Glitch,,,3009,262.51,42,0,True
10959,,21,False,0,46,common,4,nice,Green Comb,Prized Coq,,,,Nightstalker Blue,,Venus,,,10543,103.13,35,7.6,True
10960,,16,False,0,36,common,5,nice,Framez,,Hoops,Croqs,,Snow White,,Periwinkle,,,7417,157.29,35,0,True
10961,,17,False,0,38,common,4,nice,,Purple Bowtie,Starfish,,,Passion Red,,Cornhusk,,,9982,112.65,35,7.85,True
10962,,17,False,0,38,common,3,rare,Winterproof,,,,,Mutant Purple,,Periwinkle,,,11234,88.17,35,6,True
10963,,25,False,0,54,common,4,rare,Construction Helmet,,Shield,,,Passion Red,,Vibe,,,6494,172.84,35,6.98,True
10964,,46,False,0,96,common,4,rare,,,Gainz,Celestial Feet,,Snow White,,Farm,,,9234,127.56,35,0,True
10965,,46,False,0,96,common,4,elite,Celestial Comb,Bone Necklace,,,,Snow White,,Drummies,,,8973,131.92,35,0,True
10966,,40,False,0,84,common,4,nice,Mullet,,,,,Snow White,Black Trim,Royale,,,9318,125.99,35,6.4,True
10967,,25,True,450,54,nice,5,legendary,Celestial Comb,,The Key,Golden Greaves,,Obsidian,,Vulcan,,,3091,258.89,42,6.5,True
10968,,11,False,0,26,rare,6,legendary,Bucket,Bone Necklace,,Golden Feet,,Snow White,Avax Trim,Cornhusk,,,1082,384.95,55,0,True
10969,,24,False,0,52,common,4,nice,Gentlechikn,,,Green Feet,,Nightstalker Blue,,Tangerine,,,10212,108.46,35,15,True
10970,,8,False,0,20,nice,5,elite,Snorkel,,Boombox,Red Feet,,Passion Red,,Periwinkle,,,5304,195.73,42,20,True
10971,,23,False,0,50,common,5,rare,Purple Comb,,Banjo,Iron Claw,,Snow White,,Field,,,6034,181.53,35,0,True
10972,,17,False,0,38,common,5,rare,,a little rag,Gainz,Red Feet,,Nightstalker Blue,,Vibe,,,8140,145.35,35,0,True
10973,,21,False,0,46,common,5,elite,Chrome Dome,Clockchain,,Iron Claw,,Mutant Purple,,Cornhusk,,,7392,157.55,35,5.95,True
10974,,14,False,0,32,common,3,elite,Beanie,,,,,Bullion,,Vermillion,,,9810,116.24,35,10.8,True
10975,,20,False,0,44,common,4,elite,Framez,Chick Magnet,,,,Mutant Purple,,Venus,,,7663,153.28,35,0,True
10976,,20,False,0,44,nice,5,rare,Inherited Royalty,Sash,Not Football,,,Mutant Purple,,Cornhusk,,,3905,229.83,42,0,True
10977,,4,False,0,12,rare,4,legendary,,,,Golden Greaves,Big Mama Fat Pipes,Passion Red,,Vulcan,,,1792,328.39,55,0,True
10978,,4,False,0,12,common,4,elite,Green Comb,Red Bowtie,,,,Frog Green,,Atlantis,,,8469,140.15,35,0,True
10979,,24,False,0,52,common,4,rare,,,Rubber chikn,,,Snow White,Black Trim,Plum,,,9159,128.89,35,42,True
10980,,48,False,0,100,nice,5,nice,Framez,,,Green Feet,Royal Flush,Snow White,,Turquoisey,,,3306,249.14,42,6.99,True
10981,,26,False,0,56,common,4,nice,Celestial Comb,Prized Coq,,,,Frog Green,,Turquoisey,,,11207,88.97,35,0,True
10982,,30,False,0,64,common,5,nice,,Coq Tags,,Buckaroo,,Nightstalker Blue,Black Trim,Miami,,,9053,130.79,35,18.7,True
10983,,25,False,0,54,common,4,elite,Dirty Bird,,Rubber chikn,,,Obsidian,,Cornhusk,,,6866,165.93,35,0,True
