ID,Name,KG,For Sale,Sale Price,EGG/Day,Rarity,# Traits,Rarest Trait,Head,Neck,Torso,Feet,Tail,Body,Trim,Background,Lore,Flavour,Rank,Score,Floor Price,Last Price,Roosted
28,,18,False,0,5.25,common,6,rare,,red bandana,peacemaker,blue feet,,nightstalker blue,avax trim,vibe,,,5721,136.69,93,0,True
29,,39,False,0,10.5,common,5,rare,,bitcoin bling,,red feet,orange plumage,nightstalker blue,,periwinkle,,,8539,101.63,93,0,True
30,,28,False,0,7.75,common,6,elite,,hairy old man,blue bag,,red plumage,mutant purple,cloud trim,cornhusk,,,6319,128.93,93,30,True
31,,34,False,0,9.25,common,4,nice,cool dude 69,,,,nyan,passion red,,cornhusk,just a two-trait hen lookin' for a handsome roostr to squirt its' FERT while shittin' rainbows,let's bokkin' go boiz,9367,87.69,93,25,True
32,,37,False,0,10,common,6,nice,nerdlinger,,blue bag,purple feet,,rustic brown,blue trim,plum,,,5139,144.83,93,0,True
33,,32,False,0,8.75,elite,6,elite,icey stare,,a fresh baguette,red vans,,nightstalker blue,blue trim,venus,,,453,300.13,145,7,True
34,,21,True,199,6,common,5,rare,,,,blue feet,very fresh egg,pixel-chan,space trim,venus,,,6117,131.9,93,100,True
35,Mausi,31,True,299,8.5,rare,5,elite,avax safety officer,,old fashioned romance,red leather boots,,rustic brown,,cornhusk,,,1797,211.18,138,25,True
36,,12,False,0,3.75,common,5,nice,,,fresh fish,green feet,nyan,gameboy,,plum,,,8423,103.34,93,0,True
37,,45,False,0,12,common,6,nice,gentleman's pipe,hairy old man,,blue feet,led,mutant purple,,cornhusk,,,8142,106.75,93,35.1,True
38,,59,False,0,15.5,elite,6,elite,frothy crown,second head,captain chimerica,,,rustic brown,space trim,vermillion,,,245,347.34,145,50,True
39,,46,False,0,12.25,rare,6,elite,mysterious fez,red bandana,blue bag,,orange plumage,nightstalker blue,,farm,,,1098,244.93,138,0,True
40,,45,False,0,12,nice,5,nice,low vision admiral,hairy old man,a fresh baguette,,,gameboy,,turquoisey,,,4167,158.64,95,36,True
41,,33,False,0,9,nice,5,rare,smoking lounge,purple bowtie,,black vans,,rustic brown,,plum,,,3031,178.54,95,0,True
42,,35,False,0,9.5,common,4,rare,savage beast,,,blue feet,,rustic brown,,vibe,,,8862,97.03,93,42,True
43,,53,False,0,14,nice,6,elite,pillager,,cutlass,red feet,led,crystalé,,periwinkle,,,2725,184.96,95,36,True
44,,34,False,0,9.25,common,5,rare,,,human growth hormones,blue feet,,passion red,black trim,cornhusk,,,8745,98.55,93,0,True
45,,33,True,2000,9,nice,4,rare,goose,bitcoin bling,,,,gameboy,,cornhusk,,,3345,172.02,95,0,True
46,,4,False,0,1.75,common,4,rare,,red bandana,,blue kicks,,nightstalker blue,,vermillion,,,8151,106.71,93,3,True
47,,37,False,0,10,common,5,nice,deal with it,,summer days,red feet,,passion red,,turquoisey,,,7647,113,93,0,True
48,,25,False,0,7,common,5,nice,black sweatband,,summer days,,red plumage,rustic brown,,cornhusk,,,8626,100.16,93,0,True
49,,23,False,0,6.5,common,3,nice,,,,,led,passion red,,turquoisey,,,9377,87.46,93,99,True
50,,46,False,0,12.25,nice,4,elite,sucker,,action shorts,,,mutant purple,,tangerine,,,3973,161.74,95,0,True
51,Let's Go Brandon,43,False,0,11.5,rare,6,elite,construction helmet,,big bag of cash,swashbucklers,liarliar,mutant purple,,turquoisey,,,1513,223.13,138,15,True
52,,31,False,0,8.5,common,6,rare,,black bandana,peacemaker,blue feet,orange plumage,rustic brown,,cornhusk,,,8301,104.79,93,0,True
53,,45,False,0,12,common,4,rare,,,big ol corn cob,red feet,,bullion,,vermillion,,,8209,105.98,93,0,True
54,,22,False,0,6.25,nice,5,elite,,,blue bag,,golden egg,rustic brown,space trim,farm,,,2654,186.65,95,0,True
55,,59,False,0,15.5,rare,5,elite,goose,mim og,,blue feet,,rustic brown,,periwinkle,,,846,260.8,138,101,True
56,,17,False,0,5,nice,5,rare,golden blonde,red bandana,summer days,,,frognation green,,tangerine,,,3117,176.59,95,0,True
57,,37,False,0,10,nice,5,rare,moustache,,spell wand,blue kicks,,mutant purple,,solana,,,3386,171.25,95,0,True
58,Peckin' Heat,46,False,0,12.25,nice,6,nice,purple sweatband,chicken choker,peacemaker,,,passion red,blue trim,venus,,,4527,153.5,95,0,True
59,,12,False,0,3.75,nice,4,elite,,,popsicle,swashbucklers,,frognation green,,periwinkle,,,4526,153.51,95,0,True
60,,36,False,0,9.75,common,7,nice,savage beast,purple bowtie,old fashioned romance,blue feet,,frognation green,blue trim,cornhusk,,,5306,142.45,93,37,True
61,,35,False,0,9.5,common,3,nice,,,blue bag,,,frognation green,,turquoisey,,,9356,88.11,93,0,True
62,HODL,31,True,249,8.5,nice,5,elite,black sweatband,,action shorts,green feet,,nightstalker blue,,cornhusk,,,4092,159.88,95,23,True
63,,19,False,0,5.5,rare,7,elite,mysterious fez,hairy old man,old fashioned romance,blue kicks,,nightstalker blue,cloud trim,cornhusk,,,1046,248.7,138,0,True
64,,44,False,0,11.75,nice,5,nice,mfd,purple bowtie,,red vans,,mutant purple,,cornhusk,,,3374,171.42,95,50,True
65,,55,False,0,14.5,common,5,rare,,hairy old man,captain chimerica,purple feet,,rustic brown,,turquoisey,,,5593,138.63,93,19,True
66,,36,False,0,9.75,nice,5,rare,pixel cigarette,,captain chimerica,,,rustic brown,blue trim,cornhusk,,,4059,160.43,95,13.5,True
67,,32,False,0,8.75,rare,5,rare,charcoal brunette,black bandana,spell wand,,,bullion,,miami,,,827,262.11,138,0,True
68,,35,False,0,9.5,nice,4,nice,frothy crown,,old fashioned romance,,,mutant purple,,venus,,,4651,151.46,95,33,True
69,,46,True,6969,12.25,common,5,nice,,ethereum bling,cutlass,green feet,,passion red,,royale,,,7904,109.71,93,25,True
70,,50,False,0,13.25,nice,5,rare,goose,,a fresh baguette,,orange plumage,frognation green,,royale,,,3580,167.84,95,0,True
71,,50,False,0,13.25,common,5,nice,blue mage,dollar chain,,green feet,,rustic brown,,vermillion,,,7980,108.93,93,29,True
72,,27,False,0,7.5,rare,5,legendary,,red bowtie,human growth hormones,black vans,,celestial,,venus,,,1819,210.39,138,0,True
73,,24,False,0,6.75,rare,6,rare,avax safety officer,bitcoin bling,,purple leather boots,red plumage,rustic brown,,nugget,,,1066,247.15,138,38.1,True
74,,18,False,0,5.25,common,5,rare,sucker,,peacemaker,purple feet,,nightstalker blue,,nugget,,,5720,136.7,93,0,True
75,,27,False,0,7.5,rare,6,elite,inherited royalty,,a fresh baguette,red feet,liarliar,nightstalker blue,,vermillion,,,808,263.96,138,42,True
76,,37,False,0,10,common,5,nice,,purple bowtie,popsicle,,very fresh egg,nightstalker blue,,tangerine,,,8915,96.16,93,0,True
77,,37,False,0,10,common,5,nice,,avax bling,peacemaker,blue kicks,,frognation green,,vermillion,,,8555,101.45,93,0,True
78,,33,False,0,9,common,5,nice,admiral,,,black vans,led,frognation green,,royale,,,6617,125.46,93,0,True
79,,39,False,0,10.5,common,6,nice,uniquehorn,,summer days,black vans,nyan,passion red,,cornhusk,,,5710,136.82,93,0,True
80,,18,True,96,5.25,common,5,rare,gentleman's pipe,,big ol corn cob,,,rustic brown,black trim,cornhusk,,,6856,122.51,93,26.482648,True
81,,30,False,0,8.25,nice,5,rare,hothead,black bandana,,green feet,,rustic brown,,royale,,,3453,170.17,95,35.5,True
82,,43,False,0,11.5,common,3,rare,,,,,,gameboy,avax trim,nugget,,,7080,119.9,93,25.5,True
83,,26,False,0,7.25,nice,5,rare,nerdlinger,mim bling,midas muscles,,,rustic brown,,royale,,,3059,177.96,95,17.8,True
84,,30,False,0,8.25,nice,4,rare,saint,avax bling,,,,mutant purple,,plum,,,4378,155.72,95,33,True
85,,36,False,0,9.75,common,4,nice,nerdlinger,,human growth hormones,,,rustic brown,,periwinkle,,,7944,109.31,93,3.4,True
86,Jeff,56,True,9999,14.75,legendary,7,legendary,tungsten cube,second head,big bag of cash,comfortable uggs,,passion red,black trim,cornhusk,Friend to all except Geoff,Jeff,10,677.64,300,0,True
87,,26,False,0,7.25,common,5,nice,pillager,chains for days,a fresh baguette,,,nightstalker blue,,plum,,,7161,118.78,93,0,True
88,,48,False,0,12.75,common,5,rare,,wage slave,big ol corn cob,,orange plumage,nightstalker blue,,solana,,,8628,100.1,93,24.99,True
89,,43,False,0,11.5,common,4,Common,,avax bling,,blue feet,,rustic brown,,royale,,,9901,69.51,93,0,True
90,,32,True,288.88,8.75,elite,7,elite,super saiyan,purple bowtie,mighty broadsword,rollerderby,orange plumage,passion red,,periwinkle,,,464,297.72,145,40,True
91,,48,False,0,12.75,nice,6,elite,pixel cigarette,purple bowtie,big ol corn cob,,very fresh egg,rustic brown,,farm,,,3715,165.65,95,0,True
92,,21,False,0,6,common,4,elite,,purple bowtie,,,very fresh egg,crystalé,,vibe,,,7074,119.94,93,6.49,True
93,,52,False,0,13.75,nice,6,nice,avax safety officer,chains for days,fresh fish,green feet,,nightstalker blue,,royale,,,2446,192.05,95,24,True
94,Metaverse,31,True,299,8.5,rare,5,rare,laser eye,avax bling,popsicle,,,nightstalker blue,,vibe,,,1413,227.46,138,20,True
95,Tupac Scratchr,43,False,0,11.5,common,5,nice,,bitcoin bling,,black vans,liarliar,frognation green,,cornhusk,,,8112,107.05,93,0,True
96,,30,False,0,8.25,common,6,nice,blue mage,dollar chain,mighty broadsword,,red plumage,mutant purple,,vermillion,,,5433,140.87,93,30,True
97,,36,False,0,9.75,common,4,rare,,black bandana,hentai,,,gameboy,,vibe,,,5509,139.86,93,72,True
98,,26,False,0,7.25,common,4,nice,,,blue bag,red feet,,mutant purple,,periwinkle,,,9682,79.44,93,17.75,True
99,,22,False,0,6.25,common,4,nice,uniquehorn,hairy old man,,,,passion red,,venus,,,8540,101.61,93,18.5,True
100,,48,False,0,12.75,common,6,nice,top of the morning,purple bowtie,old fashioned romance,red feet,,nightstalker blue,,periwinkle,,,6337,128.76,93,42,True
2101,,41,False,0,11,rare,6,elite,mfd,hairy old man,cutlass,,golden egg,crystalé,,vermillion,,,1228,237.51,138,39.99,True
2102,,33,False,0,9,common,5,rare,top of the morning,red bandana,,,nyan,passion red,,royale,,,6261,129.85,93,24.99,True
2103,Eggatha Christie,49,False,0,13,common,5,rare,,purple bowtie,,,very fresh egg,pixel-chan,space trim,tangerine,,,6233,130.17,93,25.8,True
2104,,35,False,0,9.5,rare,6,elite,covid safe,second head,old fashioned romance,,red plumage,frognation green,,royale,,,1505,223.27,138,32.9,True
2105,,37,False,0,10,elite,6,elite,goose,,,red vans,golden egg,passion red,cloud trim,tangerine,,,696,271.74,145,0,True
2106,,52,False,0,13.75,rare,6,elite,admiral,second head,a fresh baguette,blue feet,,pixel-chan,,solana,,,1298,234.02,138,32.99,True
2107,,45,False,0,12,nice,5,rare,,ethereum bling,midas muscles,black vans,,mutant purple,,vibe,,,2844,182.53,95,59,True
2108,,50,False,0,13.25,nice,4,rare,charcoal brunette,red bowtie,,,,mutant purple,,royale,,,4729,150.38,95,27,True
2109,,49,False,0,13,common,4,rare,crusader,,fresh fish,,,rustic brown,,vibe,,,5121,145.03,93,60,True
2110,,35,False,0,9.5,nice,6,rare,covid safe,black bandana,popsicle,green feet,,frognation green,,vermillion,,,4832,148.93,95,24.5,True
2111,,33,False,0,9,nice,6,rare,moustache,avax bling,blue bag,green feet,,pixel-chan,,nugget,,,4457,154.44,95,31,True
2112,Pollo Verde,45,False,0,12,common,3,nice,,,,blue feet,,frognation green,,tangerine,,,9689,79.39,93,54,True
2113,,31,False,0,8.5,nice,6,rare,avax safety officer,red bowtie,,purple feet,gas guzzler,mutant purple,,turquoisey,,,2651,186.67,95,30,True
2114,,40,False,0,10.75,common,5,rare,,hairy old man,big ol corn cob,,liarliar,nightstalker blue,,miami,,,9337,88.42,93,25,True
2115,,21,False,0,6,common,5,nice,,red bowtie,mighty broadsword,green feet,,gameboy,,tangerine,,,8177,106.42,93,26,True
2116,,49,False,0,13,common,5,nice,,dollar chain,popsicle,,liarliar,nightstalker blue,,tangerine,,,7815,110.85,93,26.5,True
2117,,14,False,0,4.25,nice,5,rare,uniquehorn,blue bandana,spell wand,,,nightstalker blue,,cornhusk,,,3698,165.9,95,5,True
2118,,29,False,0,8,nice,4,rare,cheeky redhead,,big ol corn cob,,,nightstalker blue,,miami,,,3793,164.4,95,0,True
2119,,3,False,0,1.5,common,5,nice,cool dude 69,hairy old man,,,led,passion red,,plum,,,8231,105.76,93,0,True
2120,,41,False,0,11,common,4,Common,purple sweatband,,,red feet,,rustic brown,,royale,,,8759,98.35,93,28,True
2121,,29,False,0,8,nice,5,rare,all seeing eye,,old fashioned romance,,gas guzzler,rustic brown,,royale,,,3876,163.19,95,0,True
2122,,35,False,0,9.5,common,5,nice,moustache,,cutlass,,nyan,rustic brown,,vermillion,,,7851,110.35,93,26,True
2123,,32,False,0,8.75,nice,5,rare,,red bowtie,captain chimerica,,liarliar,pixel-chan,,vibe,,,4707,150.72,95,1.9,True
2124,THE CLEAN COQ,15,True,444,4.5,rare,2,nice,,,,,,passion red,,royale,,,1002,251.16,138,0,True
2125,,15,False,0,4.5,common,6,nice,,dollar chain,summer days,green feet,red plumage,gameboy,,plum,,,6746,123.86,93,0,True
2126,,12,False,0,3.75,common,5,elite,,,peacemaker,,orange plumage,nightstalker blue,cloud trim,turquoisey,,,6432,127.69,93,0,True
2127,,40,False,0,10.75,nice,5,elite,construction helmet,purple bowtie,cutlass,,,frognation green,,cloud,,,4545,153.17,95,33,True
2128,ROYAL LOAF,12,False,0,3.75,elite,6,elite,inherited royalty,,a fresh baguette,blue kicks,gas guzzler,passion red,,solana,,,426,305.36,145,0,True
2129,Deep Sea Coq,34,False,0,9.25,nice,6,rare,uniquehorn,,fresh fish,blue feet,golden egg,nightstalker blue,,venus,,,4390,155.37,95,56,True
2130,The BTC Sultan,85,False,0,22,nice,5,rare,smoking lounge,bitcoin bling,a fresh baguette,,,nightstalker blue,,solana,,,2814,183.04,95,30,True
2131,The Boss,37,True,55000,10,legendary,7,legendary,super saiyan,wage slave,business boy,green feet,liarliar,rustic brown,,venus,,,98,436.65,300,150,True
2132,,17,False,0,5,rare,5,elite,black sweatband,,,comfortable uggs,,passion red,cloud trim,vibe,,,1951,205.82,138,0,True
2133,Patient Zero,15,False,0,4.5,common,3,nice,covid safe,,,,,frognation green,,periwinkle,,,7999,108.7,93,0,True
2134,,30,False,0,8.25,rare,5,legendary,,,midas muscles,purple feet,red plumage,celestial,,vibe,,,1140,242.93,138,34.2,True
2135,,45,False,0,12,nice,5,elite,,,hentai,swashbucklers,very fresh egg,frognation green,,plum,,,3688,166.01,95,30,True
2136,,32,False,0,8.75,common,3,rare,hubba bubba,,,,,frognation green,,nugget,,,6550,126.27,93,9,True
2137,2 Traitz,32,True,444,8.75,rare,2,nice,,,,,,frognation green,,plum,,,997,251.33,138,85,True
2138,DirtyBird,35,True,55000,9.5,unique,8,unique,?,?,?,?,?,?,?,?,,,?,9045.14,53192,0,True
2139,,52,False,0,13.75,common,3,nice,,,fresh fish,,,rustic brown,,cornhusk,,,9258,89.91,93,29,True
2140,,2,False,0,1.25,nice,5,elite,,avax bling,action shorts,,orange plumage,bullion,,venus,,,2418,192.74,95,27,True
2141,,45,False,0,12,common,5,rare,,,,blue feet,red plumage,gameboy,space trim,vermillion,,,7198,118.32,93,27.5,True
2142,,33,False,0,9,rare,5,elite,super saiyan,purple bowtie,action shorts,,,nightstalker blue,,royale,,,839,261.32,138,0,True
2143,,44,False,0,11.75,elite,6,legendary,admiral,second head,cutlass,,big mama fat pipes,nightstalker blue,,farm,,,362,317.22,145,0,True
2144,,45,False,0,12,nice,5,legendary,,red bandana,,real feet,very fresh egg,rustic brown,,cornhusk,,,3631,166.98,95,40,True
2145,,37,False,0,10,nice,5,rare,goose,,old fashioned romance,blue feet,,passion red,,solana,,,3588,167.71,95,29,True
2146,,50,False,0,13.25,nice,5,rare,avax safety officer,red bowtie,,red vans,,mutant purple,,miami,,,2486,191.02,95,34.5,True
2147,,23,False,0,6.5,nice,5,rare,lucky blue cap,dollar chain,captain chimerica,,,mutant purple,,vermillion,,,2968,180.02,95,0,True
2148,,25,False,0,7,common,5,rare,black sweatband,,fresh fish,,,rustic brown,black trim,turquoisey,,,5567,139.01,93,17,True
2149,Eggy Potter,60,False,0,15.75,rare,7,elite,red mage,bitcoin bling,big bag of cash,purple feet,golden plumage,rustic brown,,tangerine,,,1079,246.17,138,44,True
2150,,42,False,0,11.25,common,6,rare,blue mage,ethereum bling,big ol corn cob,,orange plumage,frognation green,,plum,,,5534,139.55,93,28.75,True
2151,,33,False,0,9,common,5,nice,savage beast,red bowtie,,red feet,,passion red,,turquoisey,,,7758,111.68,93,26.5,True
2152,,24,False,0,6.75,elite,6,legendary,smoking lounge,avax bling,captain chimerica,,big mama fat pipes,nightstalker blue,,solana,,,643,277.21,145,0,False
2153,FUD,40,False,0,10.75,elite,5,elite,icey stare,,,red vans,,pixel-chan,blue trim,tangerine,,,549,287.74,145,41.5,True
2154,,88,False,0,22.75,nice,6,elite,top of the morning,,action shorts,red feet,nyan,passion red,,cornhusk,,,2973,179.97,95,24.5987,True
2155,,46,False,0,12.25,common,4,nice,,,blue bag,purple feet,,rustic brown,,cornhusk,,,9779,75.7,93,17,True
2156,,33,False,0,9,common,5,nice,pixel cigarette,,peacemaker,,,nightstalker blue,avax trim,vermillion,,,7526,114.5,93,28,True
2157,,36,False,0,9.75,common,6,nice,pillager,chains for days,summer days,,led,mutant purple,,tangerine,,,5809,135.67,93,31,True
2158,,44,False,0,11.75,common,6,rare,hubba bubba,bitcoin bling,,blue feet,,passion red,black trim,cornhusk,,,5354,141.84,93,28.5,True
2159,,36,False,0,9.75,common,5,Common,nerdlinger,,summer days,,very fresh egg,mutant purple,,cornhusk,,,8740,98.58,93,2.6,True
2160,,47,False,0,12.5,common,5,nice,savage beast,,old fashioned romance,black vans,,passion red,,tangerine,,,6024,133.03,93,0,True
2161,,42,False,0,11.25,elite,6,legendary,covid safe,,business boy,blue feet,red plumage,mutant purple,,cornhusk,,,512,291.45,145,0,True
2162,,47,False,0,12.5,common,4,elite,,mim bling,old fashioned romance,,,mutant purple,,cloud,,,7121,119.41,93,0,True
2163,Buttplug,30,False,0,8.25,common,5,Common,,,,green feet,very fresh egg,rustic brown,avax trim,turquoisey,,,9524,84.2,93,29.9,True
2164,,47,False,0,12.5,common,5,nice,,wage slave,peacemaker,,liarliar,mutant purple,,venus,,,8984,95.09,93,0,True
2165,,43,False,0,11.5,nice,6,nice,lucky blue cap,avax bling,summer days,red feet,,rustic brown,,periwinkle,,,4505,153.8,95,0,True
2166,,50,False,0,13.25,common,5,nice,,red bowtie,,red feet,red plumage,mutant purple,,tangerine,,,9357,88.03,93,75,True
2167,,43,False,0,11.5,nice,5,rare,pillager,ethereum gwei guzzler,big ol corn cob,,,mutant purple,,cornhusk,,,2471,191.33,95,0,True
2168,,43,False,0,11.5,nice,5,rare,gentlechikn,,,,nyan,passion red,avax trim,cornhusk,,,4622,151.78,95,0,True
2169,,46,False,0,12.25,nice,6,nice,moustache,red bowtie,mighty broadsword,purple feet,,mutant purple,,tangerine,,,4995,146.6,95,0,True
2170,,47,False,0,12.5,common,5,nice,covid safe,,a fresh baguette,purple feet,,gameboy,,vermillion,,,6981,121.08,93,0,True
2171,,47,False,0,12.5,common,5,rare,,wage slave,cutlass,,gas guzzler,passion red,,venus,,,7013,120.66,93,0,True
2172,,38,False,0,10.25,rare,7,nice,avax safety officer,ethereum bling,big ol corn cob,red feet,red plumage,rustic brown,,tangerine,,,1760,212.41,138,0,True
2173,,27,False,0,7.5,common,5,legendary,moustache,,,blue feet,big mama fat pipes,mutant purple,,plum,,,5735,136.51,93,27,True
2174,,1,False,0,1,common,5,nice,crusader,,human growth hormones,blue feet,,nightstalker blue,,solana,,,5052,145.84,93,0,False
2175,,36,False,0,9.75,common,5,nice,,wage slave,,,very fresh egg,nightstalker blue,avax trim,solana,,,8572,100.93,93,18.74,True
2176,,53,False,0,14,common,5,nice,red mage,hairy old man,a fresh baguette,,,passion red,,venus,,,7223,117.98,93,21.75,True
2177,,56,False,0,14.75,common,6,nice,nerdlinger,red bowtie,blue bag,blue feet,,gameboy,,periwinkle,,,6275,129.62,93,80,True
2178,,43,False,0,11.5,common,4,nice,maverick,avax bling,,,,passion red,,cornhusk,,,8842,97.29,93,60,True
2179,,1,False,0,1,rare,5,rare,saint,,cutlass,comfortable uggs,,passion red,,solana,,,1315,232.95,138,0,False
2180,,32,False,0,8.75,nice,5,nice,frothy crown,hairy old man,,,,passion red,avax trim,royale,,,4331,156.48,95,38.85,True
2181,Flaming Nugget,40,True,149,10.75,common,4,rare,,,,red feet,liarliar,pixel-chan,,nugget,,,8623,100.22,93,24,True
2182,,20,False,0,5.75,common,5,nice,covid safe,ethereum bling,,blue feet,,nightstalker blue,,solana,,,7323,116.91,93,0,True
2183,,25,False,0,7,common,5,rare,uniquehorn,red bowtie,,green kicks,,passion red,,turquoisey,,,5319,142.3,93,21.8,True
2184,,38,False,0,10.25,common,5,Common,,purple bowtie,a fresh baguette,green feet,,nightstalker blue,,cornhusk,,,9841,72.89,93,37.9,True
2185,,46,False,0,12.25,common,5,rare,blue mage,,old fashioned romance,red feet,,gameboy,,vibe,,,5808,135.67,93,0,True
2186,,43,False,0,11.5,nice,6,rare,crusader,,cutlass,blue feet,nyan,passion red,,miami,,,3748,165.11,95,0,True
2187,,43,False,0,11.5,nice,5,elite,all seeing eye,,cutlass,,golden plumage,nightstalker blue,,vermillion,,,2331,194.68,95,0,True
2188,,42,False,0,11.25,elite,6,legendary,,hairy old man,business boy,purple feet,nyan,passion red,,farm,,,287,335.25,145,0,True
2189,,29,False,0,8,common,4,rare,,,,green feet,gas guzzler,rustic brown,,tangerine,,,9716,78.73,93,28.9,True
2190,,47,False,0,12.5,common,5,nice,savage beast,chicken choker,popsicle,,,mutant purple,,cornhusk,,,6431,127.69,93,0,True
2191,,47,False,0,12.5,common,5,nice,pillager,mim bling,mighty broadsword,,,mutant purple,,turquoisey,,,6053,132.77,93,0,True
2192,,43,False,0,11.5,nice,5,elite,pixel cigarette,,action shorts,purple feet,,rustic brown,,plum,,,2864,181.92,95,0,True
2193,King Coq,42,False,0,11.25,legendary,7,elite,inherited royalty,mim og,fresh fish,rollerderby,liarliar,passion red,,vermillion,,,91,443.95,300,0,True
2194,,47,False,0,12.5,common,5,nice,crusader,,,red feet,nyan,passion red,,cornhusk,,,6470,127.26,93,0,True
2195,,47,False,0,12.5,common,6,nice,,red bowtie,,green feet,very fresh egg,nightstalker blue,blue trim,periwinkle,,,8375,103.94,93,0,True
2196,,43,False,0,11.5,rare,5,elite,pixel cigarette,avax bling,karate kid,,,mutant purple,,royale,,,1319,232.81,138,0,True
2197,,47,False,0,12.5,common,5,elite,,hairy old man,nugget wand,,liarliar,passion red,,cornhusk,,,6500,126.8,93,0,True
2198,,43,False,0,11.5,nice,5,rare,mysterious fez,avax bling,,,,passion red,space trim,vermillion,,,2267,196.32,95,0,True
2199,,43,False,0,11.5,rare,6,legendary,lucky blue cap,ethereum bling,,purple feet,big mama fat pipes,rustic brown,,farm,,,1093,245.33,138,0,True
2200,,47,False,0,12.5,common,5,rare,,,blue bag,red feet,gas guzzler,pixel-chan,,periwinkle,,,7877,110.09,93,0,True
2201,,47,False,0,12.5,common,5,nice,admiral,,old fashioned romance,purple feet,,passion red,,cornhusk,,,8154,106.65,93,0,True
2202,,43,False,0,11.5,rare,7,rare,sucker,bitcoin bling,midas muscles,green feet,red plumage,passion red,,royale,,,1630,217.45,138,0,True
2203,,43,False,0,11.5,nice,6,rare,admiral,red bandana,summer days,,,passion red,space trim,periwinkle,,,2731,184.79,95,0,True
