ID,Name,Rarity,Rarest Tile,For Sale,Sale Price,Last Price,Bigness,Size,Fertility,Multiplier,Score,Avg/Tile,Dark Matter,Avaxium,Gold,Mana,Tungsten,Mech,Liquidium,Veg,Lumber,Stone,pyramid_Annuit,pyramid_Avax,BoneDaddy,Goldmine,ChiknMountain,Excalibur,Meteor,Tungsten,Ruin,Red_Windmill,Golf,Graveyard,HelicopterPad,Mountain_Crystal,BigHole,Old_Windmill,Water,SmallFarm_Wheat_Fence,Mountain,Pond_Circle,Pond_Corner,Corn,SmallFarm_Corn,SmallFarm_Corn_Fence,SmallFarm_Cabbage,SmallFarm_Cabbage_Fence,SmallFarm_Empty,Grass_Mushrooms,SmallFarm_Wheat,Wheat,Woods,Roqs,CoqRoqs,Tasty Feed,Orchard,Hills,Meadow,Grass_Trees,Grass_Full,Grass_Thin
11,,,Legendary,False,0,275,vast,47,4942.000487245,4.75,804.5700000000003,80.45700000000002,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,0,1,3
12,,Bountiful,Legendary,False,0,0,infinite,120,123144.96265280421,9,1196.9700000000003,49.87375000000001,0,0,0,1,2,2,0,8,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,1,1,0,0,2,2,0,1,0,0,0,3,1,4,2,1
13,,,Nice,False,0,0,big,35,29963.096759980643,6.5,155.46999999999997,19.433749999999996,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1,0,1,1
14,,Wholesome,Elite,True,2890.69,0,infinite,120,27744.651244316963,6.25,837.0900000000004,34.87875000000002,0,1,0,1,0,2,1,1,7,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,2,1,1,0,4,1,4,1,1,3
15,,,,False,0,0,humble,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,,,Nice,False,0,0,big,18,0,4,97.22999999999999,24.307499999999997,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
17,,,Elite,False,0,5,vast,70,75012.83317045137,8,551.88,36.792,1,0,0,1,0,2,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,1,0,0,0,1,1,0,0,0,0,0,0,1,2,3,2,0,0
18,,,Legendary,True,369,0,vast,46,0,4,695.4000000000001,69.54,0,0,0,1,1,0,1,2,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,2,1,1
19,,,Common,False,0,4.75,humble,11,0,4,31.78,10.593333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
20,,,Common,False,0,0,humble,4,0,4,7.58,7.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
21,,,,False,0,0,humble,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,,,Common,False,0,0,humble,2,0,4,20.69,20.69,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
23,,,Nice,False,0,0,big,25,1372.0003194444444,4.25,152.10999999999999,25.351666666666663,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,1,0,1,0
24,,,Rare,False,0,0,vast,51,24862.039639407405,6.25,443.85999999999996,40.350909090909084,0,0,0,1,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,1,0,1,0,1,1,0,0,0,0,2,0,0,1,0
25,,,Common,False,0,0,humble,8,0,4,31.159999999999997,15.579999999999998,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
26,Model Home,Superb,Legendary,False,0,0,infinite,120,400000.9995432906,12,1513.2800000000002,63.05333333333334,2,1,0,0,2,2,1,4,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,1,0,1,0,0,0,0,0,0,0,2,2,1,1,3,0,1,2,1,2,1,1
27,,,Nice,False,0,0,humble,2,0,4,33.79,33.79,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
28,,,Rare,False,0,0,vast,53,35545,6.75,339.34999999999997,30.849999999999998,0,0,0,0,0,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,2,1,1
29,,,Nice,False,0,13,big,35,75000.99977030607,8,142.24,17.78,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,1,0,1,0,2
30,,,Elite,False,0,0,vast,58,3012.156607,4.5,465.41999999999996,38.785,0,0,0,2,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,2,0,0,0,1,2
31,,,Common,False,0,0,humble,7,36,4,29.82,14.91,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
32,,,Common,False,0,0,big,20,0,4,60.95,12.190000000000001,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0
33,,,Nice,False,0,0,humble,10,163.26886574074075,4,67.16,22.386666666666667,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
34,,,Rare,False,0,0,humble,15,0,4,123.84,30.96,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
35,,,Rare,False,0,0,humble,5,0,4,97.11999999999999,48.559999999999995,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
36,C.F.C Chikn Farm Champion,Wholesome,Elite,False,0,0,infinite,121,41894.80276555568,7,739.2400000000002,30.801666666666677,0,0,1,1,0,2,0,5,6,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,3,1,1,2,0,5
37,,,Common,False,0,0,humble,7,0,4,20.16,10.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
38,,Wholesome,Rare,False,0,0,infinite,121,30037.728077370368,6.5,780.5600000000002,32.52333333333334,0,0,0,1,0,1,3,6,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,2,1,1,1,1,2,0,2,1,0,0,0,1,1,4,4
39,,,Elite,False,0,19.88,vast,70,4942.305165198772,4.75,565.2300000000001,37.68200000000001,0,0,1,1,0,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,3,1,3
40,,,Nice,False,0,0,vast,43,35545.000340592596,6.75,142.64,15.848888888888887,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,1,1,0,3
41,,,Common,False,0,0,humble,2,0,4,20.69,20.69,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
42,,,Elite,True,75,7,vast,45,0,4,442.99999999999994,44.3,0,0,0,1,0,1,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,2,3,0
43,,Lush,Elite,False,0,0,infinite,120,29864,6.5,1060.9100000000003,44.204583333333346,0,1,1,1,0,1,0,3,3,6,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,3,0,0,1,1,0,2,4
44,,,Elite,False,0,0,vast,40,20316.57448610996,6,528.87,58.763333333333335,0,0,0,2,0,1,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,3,0
45,,,,False,0,0,humble,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,,,Common,False,0,0,big,25,0,4,98.48,16.413333333333334,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1
47,,,Common,False,0,0,humble,4,0,4,22.43,22.43,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
48,,,,False,0,0,humble,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,,,Common,False,0,0,humble,5,0,4,29.67,14.835,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
50,,Bountiful,Legendary,False,0,0,infinite,120,210588.00047426546,10.25,1294.7699999999998,53.94874999999999,1,0,0,2,0,1,0,6,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,1,0,0,2,1,1,1,1,0,0,0,2,2,1,4,3
51,,,Rare,False,0,0,big,35,0,4,260.38,32.5475,0,0,0,0,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,2
52,,,Rare,False,0,0,big,35,3164.9541456296292,4.5,282.51,35.31375,0,0,0,1,0,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,0
53,,,Elite,True,180,0,vast,60,0,4,676.9300000000001,52.071538461538466,1,0,0,3,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,2,1,0,0,1,0,0,1,0,1,0,1,2
54,,,Common,False,0,0,humble,2,0,4,12.85,12.85,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
55,,,Common,False,0,0,big,20,0,4,81.28,16.256,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,2,0,0,0
56,,,Nice,False,0,0,vast,36,1372.5758662592593,4.25,122.39999999999999,15.299999999999999,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,4
57,,,Nice,False,0,0,big,23,1372,4.25,88.32000000000001,17.664,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2,0,0
58,,,Nice,False,0,17.5,vast,36,7210.326438259259,5,188.18,23.5225,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0
59,,,Common,False,0,0,humble,5,0,4,20.43,10.215,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
60,,,Common,False,0,0,humble,12,74.78777777777779,4,54.739999999999995,18.246666666666666,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1
61,,Lush,Elite,False,0,0,infinite,120,137987.8971539583,9.25,980.6800000000004,40.861666666666686,0,0,0,2,0,0,2,6,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,1,1,1,1,0,0,0,2,0,1,2,1,0,2,1,1,3,2,1
62,,,Nice,False,0,0,humble,10,0,4,83.32,27.77333333333333,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
63,,,Nice,False,0,4.94,big,16,0,4,81.92,20.48,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0
64,,,Nice,False,0,0,vast,50,0,4,282.82,25.71090909090909,0,0,0,1,0,1,0,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,1,0,1,2,0,1,0,1,1,0,0
65,,,Common,False,0,0,big,20,0,4,57.559999999999995,11.511999999999999,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2
66,Cockerel Bordel,Wholesome,Elite,True,245,0,infinite,120,56798.54327658871,7.5,832.9900000000001,34.70791666666667,0,1,0,1,0,0,0,10,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,2,1,1,0,0,1,0,3,0,0,0,0,2,2,2,1,5,0
67,,,Nice,False,0,6.8,big,20,0,4,108.82,21.764,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0
68,,,Nice,False,0,0,vast,53,1442.700925925926,4.25,155.73999999999998,14.158181818181816,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,3,2,2
69,,,Elite,True,420,0,big,16,0,4,190.57,47.6425,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
70,,,Nice,False,0,0,humble,2,0,4,33.62,33.62,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,,,Nice,False,0,0,big,20,253.1918287037037,4,130.44,26.088,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0
72,,,Elite,False,0,0,vast,49,79189.27799343367,8,444.19000000000005,44.419000000000004,0,0,0,1,0,1,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,3,1,0,0,0
73,,,Rare,False,0,0,vast,50,0,4,424.5,38.59090909090909,0,0,0,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0,2,0,0,1,0
74,,,Elite,False,0,0,vast,50,12872.21491339778,5.5,326.48999999999995,29.680909090909086,0,1,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,2,1,1,1
75,,,Elite,False,0,0,vast,65,0,4,674.2900000000003,48.16357142857145,0,0,1,2,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,2,3,0,0,0,3
76,,,Nice,False,0,5,vast,36,225,4,199.67,24.95875,0,0,0,0,0,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0,1,1,1
77,,,Nice,False,0,4,big,16,0,4,80.74,20.185,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0
78,,,Rare,False,0,0,big,25,1372.1061342592593,4.25,187.73999999999998,31.289999999999996,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1
79,,,Common,False,0,0,humble,4,0,4,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
80,,,Elite,False,0,4.5,vast,54,1372,4.25,394.81999999999994,35.892727272727264,0,1,0,0,0,1,0,1,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,3,0,0,1,0,3
81,,Wholesome,Rare,False,0,0,infinite,120,307852.4757148673,11.25,792.65,33.02708333333333,0,0,0,3,0,1,3,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,1,0,0,0,1,3,1,1,1,1,0,0,1,5,2,0,2,0
82,,,Common,False,0,0,big,35,0,4,126.32999999999998,15.791249999999998,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,1,0,1,2
83,,,Common,False,0,8,vast,36,32,4,99.44,12.43,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,4
84,,,Rare,False,0,0,big,35,12873.713486350582,5.5,273.42,34.1775,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1
85,,,Rare,False,0,4.2,big,20,0,4,189.87000000000003,37.974000000000004,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
86,Coq Salaam Alaikum,,Elite,False,0,0,vast,67,75000,8,643.8000000000002,45.9857142857143,1,1,0,0,0,1,0,4,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,1,1,0,2,1,1
87,,,Rare,False,0,0,vast,61,24802,6.25,341.82,26.293846153846154,0,0,0,0,0,2,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,1,0,2,0,0,0,0,0,2,2,1
88,,,Rare,False,0,0,big,26,3403.623178053882,4.5,144.26999999999998,24.044999999999998,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2
89,Pecca,Wholesome,Elite,False,0,0,infinite,121,0,4,830.3800000000002,34.599166666666676,0,0,1,1,0,3,0,4,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,2,0,2,0,1,0,1,1,0,0,1,2,3,2,3,2
90,,,Nice,False,0,0,humble,13,0,4,87.32,29.106666666666666,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
91,,,Legendary,False,0,0,massive,104,12872,5.5,1743.8199999999997,83.03904761904761,1,1,0,1,2,1,2,4,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,1,1,1,0,1,0,0,2,0,1,0,3,3
92,,,Nice,False,0,0,vast,36,0,4,163.18,20.3975,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,3,1
93,,,Nice,False,0,0,massive,108,48961,7.25,324.79,14.763181818181819,0,0,0,0,0,0,0,2,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,2,0,3,1,3,1,2,7
94,,,Elite,False,0,0,vast,36,16358.146265663258,5.75,401.22999999999996,50.153749999999995,0,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1
